id,mz,rt,ms1_isotopes,S110,S111,S144,S134,S98,S99
M536T395,536.282816020331,394.85300000001,NA,15940.4284428293,13708.169432234,13889.0551092982,13882.4537247479,13149.2114134506,13940.5489624782
M536T196,536.299870716098,195.88900000002,M537T196,22454.6579893108,23216.9984146456,22458.222964509,22625.6967136611,24697.720995318,22323.9315942509
M536T517,536.326525392316,517.33901562501,NA,11160.9168406377,11134.7997851204,10718.6816335185,12079.55104342,15194.1068441654,10713.1953929668
M537T40,537.159993790545,40.034,NA,9621.82879275497,13849.0773194275,13397.5877037386,8336.72977572764,8137.94798160176,8230.04296492976
M537T381,537.19363705794,381.0265,NA,37997.0780499595,41808.7475916575,39273.3236753787,31880.652962687,31588.0788102927,31529.589120195
M537T373,537.228606595344,373.354,NA,17139.3992371666,11118.8884752046,11380.8166873061,16785.3558425718,8555.61351847839,17231.8132068159
M537T436,537.267092951335,436.0915,NA,26887.8823762049,22356.0645696231,24819.9902244509,25045.2644731872,22935.9137040172,22440.8826506834
M537T61,537.362895846455,61.22649999998,NA,13787.9552211048,14110.6458422798,13435.787954416,12179.6102377608,11850.9731025392,12086.5596842728
M537T206,537.424352341625,205.52799999999,NA,3911.67794489309,3372.15596291864,3538.57476409751,3857.45532867041,4286.6102427899305,3304.88265885832
M538T42,537.534081579976,42.037,M539T42,822042.736908528,868400.491390967,836889.442560012,852871.617665938,782469.695994496,815334.151260912
M538T82,537.53391627862,82.4135,M539T84,275289.298790214,486013.186560407,492072.886896386,483320.245242631,517661.860862496,511128.964554146
M538T128,537.534234468539,128.48099999998,M539T128,825619.058183046,1404216.02460013,1397868.22302043,1413157.84285018,641989.971373644,1472292.46639429
M538T102,537.534144297265,101.76550000001,M539T102,475912.27154543,474949.462953009,473394.13321792,517202.177794513,480954.998815533,454248.53249541
M538T219,537.533911192698,218.54149999999,NA,206944.973563389,197489.955560308,194847.871837161,232184.096469434,238493.632710283,216037.008712881
M538T40,538.159409476058,40.03549999999,NA,7088.35017348004,10288.5793735378,9860.39712479524,6315.40245117842,5711.09771028816,6027.79417230225
M538T377,538.21159671901,377.0235,M539T377,20807.1989925477,15114.2121674522,13897.7758390076,17277.9911516081,20909.6661517457,17239.0189322509
M538T243,538.277333428342,242.563,NA,15374.9222599158,10221.6193027102,13499.3224988981,13750.9636934117,14947.02886119,13811.6072324613
M538T370,538.296405052753,369.68350000001,NA,4984.04858422358,7524.62682283938,6931.65732506911,3524.58480474269,3087.39650783632,5749.61757961381
M538T184,538.419443655366,183.84150000001,NA,3755.84881146608,3587.39286032723,3704.50665409633,4781.49156608806,3620.18355899171,4345.64088824049
M539T721,538.536723694664,721.3565,M540T721; M541T721,47390.0424886939,44680.1192452575,44222.8033042048,47824.0121884586,44270.4757073392,46086.4804374875
M539T343,539.291775124645,342.99950000001,M540T344,44756.1036405668,43617.1970911862,44574.9375942682,45762.3965706933,49410.0983422735,40097.648706155
M540T382,540.24145641212294,381.8465,M541T382,78967.5113073393,80321.8603497694,88089.6805725899,67582.6694472873,59731.5116118848,77476.091283374
M540T288,540.25424646607,288.26800000001,NA,39118.4323953105,36858.3361867096,37758.1615417385,38903.8493917116,38381.4477783707,35157.1339420618
M540T87,540.257604240586,86.749,NA,12509.3007517433,11853.680034033,13534.5475006927,13138.1356816696,12347.9535131285,11983.3931266811
M540T73,540.335219276509,73.40499999998,NA,29659.2065095515,22271.5767707876,24768.7197646484,28803.8480103,26319.8435450731,20511.1240757812
M541T288,541.257661015131,287.93800000002,NA,9080.28518182335,7858.93127913795,829.275657037854,7575.12808015255,17864.3537001953,8399.81811138348
M541T444,541.394053027655,443.804,NA,7233.47181253958,7674.71848369612,4344.49150059814,7862.86579170563,7924.27314935302,6416.79773831454
M542T446,542.184376568872,445.57250000001,NA,18015.6874720705,29688.3935771447,24768.1490732956,18561.9467953373,14040.9070357571,20018.6314144813
M542T359,542.21891877101,359.01500000002,NA,3771.0224164737,4471.85598999133,3221.27652802441,3144.81249801913,4583.64646334561,3212.29119926033
M542T239,542.224001467433,238.562,NA,3257.58446167563,3806.36836169432,3545.14043509383,4136.21505784215,3602.63322523941,3885.99328671972
M542T375,542.289870602964,375.35000000001,NA,7459.79948055486,11436.0975651449,9184.41067628739,6213.71430152462,4917.5298308551,6936.55910694236
M543T264,542.73005092412,264.40750000001,M544T265; M545T264,37602.068512867,36780.6521598012,35251.0152284029,40360.3172437981,39680.8300877204,36494.463488386
M543T157,543.155157037074,157.46650000001,NA,2576.97586114311,2537.07137766034,2923.28038748631,2663.88328546227,3104.04241983118,2814.66957529385
M543T145,543.183711955052,145.49000000002,NA,2584.55036824111,2875.85509293804,3739.68390389263,3142.22101250275,2904.55579207427,2113.62293008298
M543T71,543.220601840179,70.73199999998,M544T70,7170.55311956055,5937.58149400538,6656.12572309233,7045.1323285195,7666.7980332553,7701.6092011199
M543T409,543.241090490208,408.6085,NA,52346.5543733142,58827.7877579965,50424.4849320099,56917.7859703576,57153.9713161368,28346.0115860357
M543T365,543.276141369805,364.5185,M544T365; M545T365,283993.751358559,306915.008901965,297343.114194246,292606.646206281,259235.75087606,273208.197662709
M543T340,543.30987095691,340.15899999999,NA,9925.7087283979,12263.2560868255,13026.7159092181,7388.41574000434,5966.49225458186,7127.7282342345
M543T70,543.32369712123,70.3975,NA,6836.60802650262,10954.8681676338,8338.84882712528,7380.7357888785,11572.0665994575,7032.05771016003
M544T210,544.234632036912,210.03349999998,NA,4940.8293217987,5017.89733950611,5224.10995453574,998.694122150174,1150.86680322901,1195.9397427851
M544T354,544.26276158812,354.006,NA,13782.6522125394,16934.8144989253,17935.5847376294,18098.196539203,16133.4841010088,15345.0483365636
M544T477,544.271600580555,476.707,NA,46547.5946502914,43080.8178357738,44189.9255505322,46554.8916888814,43496.1482849456,42732.5742418951
M544T182,544.273280854226,182.14100000002,M545T182,23378.7281734929,21455.9911654062,22745.813702066,24684.1146205048,25785.1545632112,22977.5751512575
M544T205,544.286781291598,204.87000000002,NA,4876.4602788273,5483.53411365808,5023.45517888896,9475.42269141405,9943.42282797239,7093.89774670466
M545T404,545.254857636313,403.607,NA,44428.3415345433,72906.1090474935,43341.2511448945,42028.0782564508,35839.3136016497,38707.4574405397
M545T40,545.454745254136,40.034,NA,8685.18975838357,7969.88777987614,7866.70492694647,5259.15881015232,10064.6627054225,7544.97150503683
M546T391,546.239683266659,390.69549999999,NA,91888.419949631,91862.8230213591,88071.724177341,82026.5401090593,89652.6253367355,86832.941726934
M546T276,546.27561404445,275.5945,M547T275; M548T274; M549T274,41939.8662356274,41251.177209987,39441.313881864,37430.0384012412,40436.6447503676,39291.1689701975
M546T431,546.286954947856,430.546,NA,22688.9768921595,30226.4936297369,26392.6529506988,21209.9161696723,16792.3404679245,17550.8311669115
M546T112,546.408706839326,112.014,NA,4385.79918518185,4541.08162178993,4578.05770405883,7199.59939954204,5077.65910777819,4903.0985046404
M546T206,546.424965705106,205.86099999998,M547T206; M548T206,43523.3107369332,45439.6831171232,47527.4202567023,65627.6705090865,62535.4279841129,57959.797854778
M547T265_1,546.726410387803,264.56800000001,NA,4706.47554645786,4493.25073093238,4486.86099531679,4520.86592314871,4491.10718373819,4173.11563650665
M547T436,547.21479778273,436.08599999999,M548T436,11255.2325409843,10991.8716057544,12303.4792299443,10881.8542948213,9369.70597754923,10008.996655288
M547T401,547.244715584611,401.08649999999,NA,57144.887984142,54219.3678291729,57082.5768456602,104217.789354332,106558.212817459,55247.2847864612
M547T296,547.247545583597,295.61700000001,M548T296; M549T296,65758.8782247924,63548.0548634866,64664.5999468486,67659.0566654571,69162.8825768563,60907.9729892815
M547T337,547.250210051039,336.65599999998,NA,24586.2586468091,28531.0384424949,27273.3275569657,22951.0155077424,22732.2534336369,20390.5961818961
M547T474,547.271123878687,474.26199999999,NA,17209.1912093826,20539.9533852692,19656.2598430277,15877.9882614244,14838.5089800486,16251.7583940845
M547T286,547.295874583446,286.26599999999,M548T286,34926.2324604057,31708.0505935365,29615.1109489851,33571.5672358629,34839.8205377928,32234.4707943954
M547T215,547.29552218852,215.05449999999001,NA,13890.3333496077,13737.5795721546,11856.2878027483,14055.7321909385,8045.1498901295,13675.4076533086
M547T265_2,547.358567157904,264.58699999998,NA,2962.04561406938,2869.69494007248,2933.01658348591,2479.39147244442,3324.49864571649,2871.42960227728
M548T232,548.06471930087,231.615,NA,5501.5696702793,5135.50221417852,5362.25636464791,6389.05153266706,5965.83887683456,5737.46396670851
M548T307,548.200923044258,307.35400000001,NA,16284.7420494364,16925.8099391987,12471.3279334452,16640.5186273536,20599.4282014182,13620.6297484148
M548T170,548.271188566991,170.02700000002,NA,9299.59019634954,8154.51629362157,7687.31356564687,7497.56030644225,8867.92054627117,8262.69734967836
M548T473,548.282963152814,472.9075,NA,13227.6797307974,8035.73645657159,13676.977840723801,12680.0816832179,8911.75613283377,7263.46806175625
M548T65,548.361253317657,65.058,NA,5602.96947232872,5458.73729617121,5581.67027141637,5983.84114321195,4500.68516038441,5659.67190131907
M549T40,548.501235729701,39.69899999998,NA,6369.93039523824,4871.80647736904,5366.89022537734,4112.85476074744,6036.80499811176,6429.23093401187
M549T376,548.748149051726,375.686,M549T375,19965.0003797649,19621.163135953,19999.0354085918,20275.1003333614,21606.4594871853,19326.4429747756
M549T326,549.226974918783,325.65200000001,M550T326,52860.7767882245,50116.1069229924,46648.6022180552,50807.7366677036,49851.0157315673,38694.8337174511
M550T387,549.740761504256,387.034,NA,4274.84606237461,4181.9925768176,4542.36061975621,4450.79880385853,5122.53776543336,4561.78135407815
M550T232,550.061744339155,231.554,M551T232; M552T232; M553T232; M554T232,21414.2725251029,20370.4875874128,20963.0833758971,21277.8895217214,23118.5859166378,20293.5052086054
M550T465,550.2091456358,465.443,NA,5282.97008536988,5998.7557845448,5442.57360526773,4208.71258116493,3306.22561160811,3999.03800412326
M550T244,550.249258440262,243.56400000002,M551T243,13282.5744149215,12038.8035850154,12316.3238450455,12498.4992715894,12827.2308434849,12128.7785114862
M550T345,550.259232327371,344.66649999999,NA,31531.5927257735,28900.3066650341,31437.2984027526,33448.6591535519,33438.1957444773,29778.66551996
M551T47,550.626977219155,46.87550000002,NA,59310.9226270491,97760.0866445411,106622.30285462,88195.2283754045,103151.273887117,97434.5049500307
M551T156,550.626920527359,155.797,NA,94474.6515856293,88840.4326897191,63457.0002562833,77669.5360770454,88394.6088632064,39199.915040968
M551T85,550.626761714462,85.28700000001,NA,57829.7071249697,60439.3378456709,68248.2092569334,58867.7355229197,56241.6564797542,56801.118062529
M551T427,550.776796534677,427.42849999999,NA,3803.41930622512,4407.69529885625,2983.12113386845,3999.90429576414,3336.25843903258,2905.47105029153
